"","Sample","# ARG","# mobileARG_2","Stage","val"
"CCMD74930188ST-21-0","CCMD74930188ST-21-0",135,3,"CRC",3
"CCMD79987997ST-21-0","CCMD79987997ST-21-0",71,4,"CRC",4
"CCMD82866709ST-21-0","CCMD82866709ST-21-0",88,2,"CRC",2
"CCMD86114146ST-21-0","CCMD86114146ST-21-0",103,1,"CRC",1
"CCMD86707194ST-21-0","CCMD86707194ST-21-0",178,8,"CRC",8
"CCMD87156761ST-21-0","CCMD87156761ST-21-0",106,4,"CRC",4
"CCMD88272491ST-21-0","CCMD88272491ST-21-0",116,5,"CRC",5
"CCMD90311071ST-21-0","CCMD90311071ST-21-0",84,5,"CRC",5
"CCMD93344354ST-21-0","CCMD93344354ST-21-0",78,3,"CRC",3
"CCMD95433940ST-21-0","CCMD95433940ST-21-0",118,7,"CRC",7
"CCMD96553385ST-21-0","CCMD96553385ST-21-0",57,3,"CRC",3
"CCIS00146684ST-4-0","CCIS00146684ST-4-0",121,10,"CTRL",10
"CCIS00281083ST-3-0","CCIS00281083ST-3-0",45,5,"CTRL",5
"CCIS02124300ST-4-0","CCIS02124300ST-4-0",100,6,"CTRL",6
"CCIS02856720ST-4-0","CCIS02856720ST-4-0",180,10,"CTRL",10
"CCIS03473770ST-4-0","CCIS03473770ST-4-0",153,6,"CTRL",6
"CCIS03857607ST-4-0","CCIS03857607ST-4-0",84,3,"CTRL",3
"CCIS05314658ST-4-0","CCIS05314658ST-4-0",170,13,"CTRL",13
"CCIS07277498ST-4-0","CCIS07277498ST-4-0",88,4,"CTRL",4
"CCIS07539127ST-4-0","CCIS07539127ST-4-0",123,6,"CTRL",6
"CCIS07648107ST-4-0","CCIS07648107ST-4-0",99,6,"CTRL",6
"CCIS09568613ST-4-0","CCIS09568613ST-4-0",206,11,"CTRL",11
"CCIS10706551ST-3-0","CCIS10706551ST-3-0",61,2,"CTRL",2
"CCIS11354283ST-4-0","CCIS11354283ST-4-0",106,7,"CTRL",7
"CCIS11362406ST-4-0","CCIS11362406ST-4-0",179,5,"CTRL",5
"CCIS11558985ST-4-0","CCIS11558985ST-4-0",52,5,"CTRL",5
"CCIS13047523ST-4-0","CCIS13047523ST-4-0",75,6,"CTRL",6
"CCIS15794887ST-4-0","CCIS15794887ST-4-0",93,4,"CTRL",4
"CCIS16326685ST-4-0","CCIS16326685ST-4-0",77,5,"CTRL",5
"CCIS16383318ST-4-0","CCIS16383318ST-4-0",192,12,"CTRL",12
"CCIS16561622ST-4-0","CCIS16561622ST-4-0",128,8,"CTRL",8
"CCIS20795251ST-4-0","CCIS20795251ST-4-0",88,3,"CTRL",3
"CCIS21126322ST-4-0","CCIS21126322ST-4-0",104,9,"CTRL",9
"CCIS23164343ST-4-0","CCIS23164343ST-4-0",184,8,"CTRL",8
"CCIS27304052ST-3-0","CCIS27304052ST-3-0",66,5,"CTRL",5
"CCIS27927933ST-4-0","CCIS27927933ST-4-0",71,4,"CTRL",4
"CCIS29210128ST-4-0","CCIS29210128ST-4-0",71,4,"CTRL",4
"CCIS29688262ST-20-0","CCIS29688262ST-20-0",95,4,"CTRL",4
"CCIS32452666ST-4-0","CCIS32452666ST-4-0",160,11,"CTRL",11
"CCIS34604008ST-4-0","CCIS34604008ST-4-0",109,7,"CTRL",7
"CCIS36699628ST-4-0","CCIS36699628ST-4-0",156,10,"CTRL",10
"CCIS36797902ST-4-0","CCIS36797902ST-4-0",152,8,"CTRL",8
"CCIS41692898ST-4-0","CCIS41692898ST-4-0",93,5,"CTRL",5
"CCIS44093303ST-4-0","CCIS44093303ST-4-0",74,4,"CTRL",4
"CCIS45571137ST-3-0","CCIS45571137ST-3-0",48,1,"CTRL",1
"CCIS45793747ST-4-0","CCIS45793747ST-4-0",187,13,"CTRL",13
"CCIS48174381ST-4-0","CCIS48174381ST-4-0",132,11,"CTRL",11
"CCIS50003399ST-4-0","CCIS50003399ST-4-0",84,9,"CTRL",9
"CCIS50471204ST-4-0","CCIS50471204ST-4-0",124,8,"CTRL",8
"CCIS51595129ST-4-0","CCIS51595129ST-4-0",91,7,"CTRL",7
"CCIS63448910ST-4-0","CCIS63448910ST-4-0",137,9,"CTRL",9
"CCIS63468405ST-4-0","CCIS63468405ST-4-0",183,11,"CTRL",11
"CCIS63910149ST-4-0","CCIS63910149ST-4-0",60,4,"CTRL",4
"CCIS64773582ST-4-0","CCIS64773582ST-4-0",177,8,"CTRL",8
"CCIS64785924ST-20-0","CCIS64785924ST-20-0",35,2,"CTRL",2
"CCIS71578391ST-4-0","CCIS71578391ST-4-0",116,7,"CTRL",7
"CCIS74239020ST-4-0","CCIS74239020ST-4-0",106,3,"CTRL",3
"CCIS78100604ST-4-0","CCIS78100604ST-4-0",117,6,"CTRL",6
"CCIS79210440ST-3-0","CCIS79210440ST-3-0",136,8,"CTRL",8
"CCIS80834637ST-4-0","CCIS80834637ST-4-0",92,10,"CTRL",10
"CCIS81139242ST-4-0","CCIS81139242ST-4-0",83,11,"CTRL",11
"CCIS82507866ST-3-0","CCIS82507866ST-3-0",70,4,"CTRL",4
"CCIS82944710ST-20-0","CCIS82944710ST-20-0",36,3,"CTRL",3
"CCIS88007743ST-4-0","CCIS88007743ST-4-0",178,17,"CTRL",17
"CCIS88317640ST-4-0","CCIS88317640ST-4-0",187,14,"CTRL",14
"CCIS90164298ST-4-0","CCIS90164298ST-4-0",107,7,"CTRL",7
"CCIS93040568ST-20-0","CCIS93040568ST-20-0",62,5,"CTRL",5
"CCIS94417875ST-3-0","CCIS94417875ST-3-0",77,5,"CTRL",5
"CCIS94603952ST-4-0","CCIS94603952ST-4-0",145,6,"CTRL",6
"CCIS95097901ST-4-0","CCIS95097901ST-4-0",106,8,"CTRL",8
"CCIS95409808ST-4-0","CCIS95409808ST-4-0",166,8,"CTRL",8
"CCIS98482370ST-3-0","CCIS98482370ST-3-0",56,0,"CTRL",0
"SID31004","SID31004",83,3,"CRC",3
"SID31159","SID31159",116,7,"CRC",7
"SID31188","SID31188",109,0,"CRC",0
"SID31223","SID31223",83,1,"CRC",1
"SID31237","SID31237",70,0,"CRC",0
"SID31276","SID31276",110,6,"CRC",6
"SID31285","SID31285",112,5,"CRC",5
"SID31367","SID31367",180,15,"CRC",15
"SID31446","SID31446",163,10,"CRC",10
"SID31489","SID31489",85,1,"CRC",1
"SID31493","SID31493",132,6,"CRC",6
"SID31549","SID31549",91,2,"CRC",2
"SID31685","SID31685",69,5,"CRC",5
"SID31865","SID31865",57,2,"CRC",2
"SID31866","SID31866",182,9,"CRC",9
"SID31868","SID31868",192,16,"CRC",16
"SID31870","SID31870",87,6,"CRC",6
"SID31871","SID31871",68,1,"CRC",1
"SID31872","SID31872",126,8,"CRC",8
"SID31873","SID31873",100,3,"CRC",3
"SID31874","SID31874",97,0,"CRC",0
"SID31875","SID31875",124,5,"CRC",5
"SID31876","SID31876",188,6,"CRC",6
"SID31877","SID31877",85,6,"CRC",6
"SID31878","SID31878",101,1,"CRC",1
"SID31879","SID31879",146,2,"CRC",2
"SID31880","SID31880",178,16,"CRC",16
"SID31881","SID31881",102,6,"CRC",6
"SID31883","SID31883",175,9,"CRC",9
"SID31884","SID31884",155,7,"CRC",7
"SID530373","SID530373",105,7,"CRC",7
"SID530890","SID530890",174,11,"CRC",11
"SID531128","SID531128",112,5,"CRC",5
"SID531155","SID531155",136,2,"CRC",2
"SID531248","SID531248",78,0,"CRC",0
"SID531274","SID531274",129,9,"CRC",9
"SID531277","SID531277",142,2,"CRC",2
"SID531281","SID531281",158,8,"CRC",8
"SID531333","SID531333",119,5,"CRC",5
"SID531352","SID531352",150,7,"CRC",7
"SID531361","SID531361",72,5,"CRC",5
"SID531382","SID531382",69,3,"CRC",3
"SID531416","SID531416",180,8,"CRC",8
"SID531469","SID531469",95,5,"CRC",5
"SID531766","SID531766",79,6,"CRC",6
"SID531775","SID531775",158,13,"CRC",13
"SID31009","SID31009",108,1,"CTRL",1
"SID31021","SID31021",95,6,"CTRL",6
"SID31071","SID31071",74,1,"CTRL",1
"SID31112","SID31112",54,3,"CTRL",3
"SID31129","SID31129",117,3,"CTRL",3
"SID31160","SID31160",92,5,"CTRL",5
"SID31219","SID31219",143,6,"CTRL",6
"SID31232","SID31232",75,5,"CTRL",5
"SID31236","SID31236",81,5,"CTRL",5
"SID31267","SID31267",91,3,"CTRL",3
"SID31300","SID31300",105,4,"CTRL",4
"SID31328","SID31328",125,7,"CTRL",7
"SID31333","SID31333",74,1,"CTRL",1
"SID31343","SID31343",155,4,"CTRL",4
"SID31360","SID31360",99,7,"CTRL",7
"SID31379","SID31379",92,2,"CTRL",2
"SID31416","SID31416",60,1,"CTRL",1
"SID31428","SID31428",57,4,"CTRL",4
"SID31450","SID31450",124,4,"CTRL",4
"SID31452","SID31452",88,2,"CTRL",2
"SID31512","SID31512",54,0,"CTRL",0
"SID31519","SID31519",85,3,"CTRL",3
"SID31537","SID31537",75,4,"CTRL",4
"SID31557","SID31557",86,0,"CTRL",0
"SID31600","SID31600",107,1,"CTRL",1
"SID31637","SID31637",150,8,"CTRL",8
"SID31700","SID31700",181,6,"CTRL",6
"SID31711","SID31711",112,6,"CTRL",6
"SID31714","SID31714",139,10,"CTRL",10
"SID31723","SID31723",114,1,"CTRL",1
"SID31749","SID31749",164,3,"CTRL",3
"SID31750","SID31750",163,4,"CTRL",4
"SID31766","SID31766",51,1,"CTRL",1
"SID530050","SID530050",167,8,"CTRL",8
"SID530052","SID530052",56,4,"CTRL",4
"SID530055","SID530055",107,6,"CTRL",6
"SID530074","SID530074",48,0,"CTRL",0
"SID530075","SID530075",143,4,"CTRL",4
"SID530119","SID530119",87,3,"CTRL",3
"SID530154","SID530154",137,5,"CTRL",5
"SID530163","SID530163",68,5,"CTRL",5
"SID530167","SID530167",172,10,"CTRL",10
