"","r.mARG_2","r.mARG_byPhage","r.mARG_byPlasmid","r.mARG_byChromosome"
"CRC",0.0868113522537563,0.42237061769616,0.300500834724541,0.784641068447412
"CTRL",0.0823117338003503,0.402802101576182,0.343257443082312,0.807355516637478
"Env",0.0277777777777778,0.305555555555556,0.666666666666667,0.833333333333333
